,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo
75,"Nuthin' But A ""G"" Thang",The Chronic,Dr. Dre,1992-12-15,238466,54,0.801,0.00575,0.801,0.699,0.0,0.146,-8.18,0.279,94.605
76,Summertime,Homebase,DJ Jazzy Jeff & The Fresh Prince,1991-07-09,270973,61,0.677,0.0455,0.677,0.539,1.84e-06,0.845,-14.439,0.063,95.116
77,Me Myself And I,"Smooth Hip-Hop, Vol. 2",Various Artists,1997-01-08,224693,28,0.898,0.0711,0.898,0.92,5.92e-05,0.0908,-7.859,0.0636,114.343
78,Shoop,Very Necessary,Salt-N-Pepa,1993-10-12,248573,67,0.939,0.0915,0.939,0.675,0.0,0.0565,-7.232,0.211,96.918
79,Full Clip,Full Clip: A Decade Of Gang Starr,Gang Starr,1999-07-13,217440,63,0.875,0.0227,0.875,0.745,2.37e-06,0.287,-5.878,0.269,95.201
80,Mama Said Knock You Out,Mama Said Knock You Out,LL Cool J,1990-08-27,289693,61,0.791,0.0314,0.791,0.759,0.674,0.255,-7.378,0.129,102.382
81,Here Comes the Hotstepper,Reggae Classics,Various Artists,2007-12-28,247466,55,0.707,0.017,0.707,0.525,0.000162,0.0771,-7.356,0.302,200.753
82,Hate It Or Love It,The Documentary,The Game,2005,206400,75,0.802,0.14,0.802,0.785,0.0,0.123,-4.781,0.207,99.998
83,Westside Story,The Documentary,The Game,2005,223066,60,0.876,0.16,0.876,0.647,0.0,0.238,-3.917,0.28,86.993
84,Bring The Pain,Tical,Method Man,1994-11-15,189760,60,0.835,0.38,0.835,0.456,0.00359,0.16,-10.195,0.266,101.889
85,Big Poppa - 2005 Remaster,Ready to Die (The Remaster),The Notorious B.I.G.,1994-09-13,252746,76,0.78,0.43,0.78,0.575,0.0,0.143,-7.247,0.273,84.492
86,Bladow!!,Anarchy,Busta Rhymes,2000-06-09,220373,24,0.764,0.0398,0.764,0.705,0.0005,0.0392,-7.39,0.279,88.357
87,Live It Up,Anarchy,Busta Rhymes,2000-06-09,221960,19,0.958,0.00385,0.958,0.334,1.07e-06,0.113,-8.172,0.345,105.93
88,Here We Go Again (feat. The Flipmode Squad),Anarchy,Busta Rhymes,2000-06-09,208600,15,0.711,0.0273,0.711,0.717,0.0,0.336,-8.4,0.343,100.106
89,"C'mon All My Niggaz, C'mon All My Bitches",Anarchy,Busta Rhymes,2000-06-09,174866,23,0.496,0.0266,0.496,0.589,0.0,0.0574,-5.962,0.447,71.63
90,Why We Die (feat. DMX & Jay-Z),Anarchy,Busta Rhymes,2000-06-09,239093,28,0.543,0.000985,0.543,0.7,0.0,0.107,-6.979,0.345,80.636
91,Make Noise (feat. Lenny Kravitz),Anarchy,Busta Rhymes,2000-06-09,197960,28,0.698,0.159,0.698,0.818,0.0,0.631,-8.07,0.398,99.236
92,Pass The Courvoisier Part II (feat. P. Diddy & Pharrell) - Remix,Genesis,Busta Rhymes,2001-11-07,238600,54,0.697,0.0844,0.697,0.793,0.0,0.0619,-4.699,0.323,89.767
93,We Got What You Want,Genesis,Busta Rhymes,2001-11-07,231506,25,0.617,0.00331,0.617,0.462,0.0,0.12,-5.311,0.49,80.845
94,Bounce,Genesis,Busta Rhymes,2001-11-07,199493,36,0.594,0.0906,0.594,0.831,0.0,0.113,-2.966,0.41,78.35
95,Holla,Genesis,Busta Rhymes,2001-11-07,274706,45,0.782,0.138,0.782,0.789,0.00401,0.104,-4.077,0.478,94.811
96,Wife In Law (feat. Jaheim) - Alternate Version,Genesis,Busta Rhymes,2001-11-07,243360,27,0.88,0.0657,0.88,0.502,0.0,0.612,-8.196,0.683,91.103
97,Ass On Your Shoulders (feat. Kokane),Genesis,Busta Rhymes,2001-11-07,282973,19,0.81,0.071,0.81,0.692,0.0,0.672,-5.136,0.393,51.451
98,Make It Hurt,Genesis,Busta Rhymes,2001-11-07,203360,36,0.55,0.0536,0.55,0.88,1.27e-06,0.641,-4.845,0.339,124.274
99,What It Is (feat. Kelis),Genesis,Busta Rhymes,2001-11-07,218906,38,0.937,0.22,0.937,0.611,3.78e-06,0.0589,-4.631,0.204,100.957
