acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,genre
0.972,0.125,460360,0.0885,0.77,A#,0.0837,-21.045,Major,0.0375,96.102,0.067,
0.995,0.285,114602,0.0428,0.845,E,0.175,-28.391,Minor,0.0473,75.83,0.284,
0.979,0.468,95320,0.111,0.943,D#,0.209,-19.336,Major,0.0345,107.997,0.657,
0.98,0.291,613213,0.0293,0.882,G#,0.099,-26.882,Major,0.0417,139.968,0.048,
2.36E-06,0.417,295373,0.902,0.0151,B,0.08,-5.638,Major,0.0424,145.039,0.595,
0.942,0.208,648760,0.126,0.249,D,0.109,-17.439,Major,0.0366,96.32,0.139,
0.972,0.14,202653,0.112,0.911,D#,0.129,-17.779,Major,0.0382,75.962,0.0373,
0.994,0.253,126000,0.0729,0.949,F,0.145,-24.97,Major,0.0424,76.942,0.0729,
0.677,0.361,258816,0.155,0,F#,0.11,-11.435,Major,0.0341,84.292,0.219,
0.785,0.0645,218840,0.168,0.937,B,0.0731,-19.253,Minor,0.0391,63.509,0.0378,
0.986,0.276,400187,0.0592,0.908,D#,0.0869,-28.905,Major,0.0472,151.098,0.0431,
0.931,0.099,186907,0.123,0.944,B,0.162,-18.441,Minor,0.0403,72.881,0.0596,
0.991,0.255,466000,0.0324,0.0261,D#,0.113,-25.862,Major,0.0486,100.145,0.127,
0.0011,0.608,321062,0.882,0,E,0.126,-5.39,Minor,0.036,120.112,0.363,
0.992,0.306,296000,0.0589,0.923,F,0.0683,-22.149,Minor,0.0405,74.297,0.102,
0.641,0.153,154693,0.302,0.912,G,0.101,-21.077,Major,0.0422,105.789,0.059,
0.985,0.206,58587,0.0642,0.958,G,0.117,-26.193,Major,0.0397,64.397,0.251,
0.182,0.573,208560,0.722,0,F,0.29,-6.518,Major,0.0295,144.209,0.59,
0.985,0.218,284960,0.0683,0.893,D,0.18,-23.168,Major,0.0805,49.934,0.587,
0.995,0.259,252653,0.0127,0.924,F,0.0936,-27.57,Minor,0.0398,72.841,0.0385,
0.771,0.429,169467,0.432,0.0615,C,0.153,-12.284,Minor,0.0331,116.282,0.667,
0.945,0.147,223028,0.0916,0.671,C,0.0931,-21.506,Major,0.0461,159.144,0.079,
0.807,0.429,218307,0.344,0,A#,0.41,-16.507,Minor,0.173,114.037,0.301,
0.984,0.23,604853,0.077,0.899,C#,0.0844,-23.38,Major,0.0467,168.504,0.0381,
0.992,0.318,384920,0.0928,0.894,A,0.0933,-27.205,Major,0.0387,105.637,0.348,
0.985,0.132,235520,0.177,0.894,D,0.199,-15.562,Minor,0.0389,99.048,0.0381,
0.947,0.0753,368933,0.0219,0.963,D,0.151,-25.25,Major,0.0387,66.636,0.0475,
0.978,0.442,306733,0.22,5.70E-05,C,0.22,-16.62,Minor,0.0878,167.137,0.695,
0.917,0.497,217546,0.415,0.908,G#,0.211,-14.459,Major,0.0384,118.808,0.879,
0.978,0.454,571722,0.103,0.191,A,0.051,-21.23,Major,0.054,130.938,0.51,
0.894,0.248,258733,0.329,0.917,A,0.0584,-19.488,Major,0.143,166.388,0.167,
