genre,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
Rap,0.111,0.872,205352,0.591,0.0,F#,0.144,-6.952,Minor,0.359,131.982,0.696
Rap,0.194,0.53,310192,0.605,0.0,A,0.145,-6.227,Minor,0.0512,143.047,0.419
Rap,0.0542,0.779,153429,0.455,0.0,C#,0.177,-15.025,Major,0.28,140.181,0.197
Rap,0.0762,0.698,229827,0.747,3.51e-06,B,0.102,-4.202,Major,0.0612,186.109,0.663
Rap,0.0139,0.712,232333,0.852,0.0,F#,0.626,-3.03,Minor,0.0555,128.009,0.621
Rap,0.053,0.828,179640,0.703,2.76e-05,E,0.151,-7.488,Minor,0.0437,122.973,0.248
Rap,0.0108,0.703,244307,0.776,0.0,A,0.74,-3.409,Major,0.304,82.466,0.541
Rap,0.427,0.612,341040,0.705,0.0,C#,0.658,-5.898,Major,0.352,101.876,0.533
Rap,0.0457,0.66,230107,0.607,0.0,A,0.32,-7.74,Minor,0.0498,125.992,0.308
Rap,0.471,0.521,153773,0.85,0.0,B,0.121,-3.607,Minor,0.281,92.062,0.378
Rap,0.379,0.773,280000,0.542,0.0,F#,0.129,-7.136,Major,0.126,84.124,0.31
Rap,0.0597,0.649,279733,0.783,0.0,F,0.735,-7.187,Minor,0.0734,132.986,0.298
Rap,0.147,0.639,222087,0.67,0.0,B,0.0728,-7.12,Major,0.247,88.069,0.462
Rap,0.197,0.868,139644,0.657,0.0,G,0.105,-5.318,Minor,0.0745,125.905,0.508
Rap,0.349,0.7,247954,0.481,0.0,D#,0.112,-10.296,Minor,0.273,88.047,0.307
Rap,0.000443,0.524,230520,0.975,0.296,G,0.877,-2.914,Major,0.0629,160.03,0.58
Rap,0.11,0.723,199747,0.732,0.0,B,0.484,-5.514,Major,0.0864,104.991,0.503
Rap,0.296,0.655,228867,0.76,3.42e-06,A#,0.0991,-7.771,Minor,0.0579,87.59,0.493
Rap,0.261,0.675,226507,0.545,0.0,G,0.162,-5.614,Minor,0.0443,60.048,0.445
Rap,0.223,0.733,211631,0.912,0.0,G#,0.206,-3.239,Minor,0.223,89.947,0.888
Rap,0.0572,0.825,185987,0.718,0.0,C,0.104,-3.482,Major,0.0838,145.028,0.69
Rap,0.0144,0.531,292093,0.913,0.0,G#,0.466,-4.911,Major,0.135,153.989,0.521
Rap,0.468,0.631,230693,0.774,0.0,B,0.281,-2.459,Major,0.3,79.745,0.44
Rap,0.0364,0.873,191086,0.665,0.0,B,0.328,-8.727,Minor,0.304,135.058,0.59
Rap,0.119,0.85,190312,0.405,0.000118,G,0.0707,-7.509,Minor,0.225,139.976,0.344
Rap,0.186,0.659,193075,0.669,0.0,A#,0.0894,-7.747,Minor,0.329,187.428,0.672
Rap,0.597,0.526,145641,0.47,0.0,E,0.135,-11.936,Minor,0.0822,133.026,0.513
Rap,0.349,0.671,195605,0.786,0.0,G#,0.14,-5.481,Major,0.0993,136.819,0.17
Rap,0.00473,0.531,320547,0.717,0.0,F#,0.096,-7.182,Minor,0.36,149.228,0.223
Rap,0.177,0.682,297427,0.92,0.00158,A#,0.0443,-1.544,Major,0.278,82.228,0.835
Rap,0.091,0.891,133057,0.827,1.53e-06,B,0.221,-6.139,Major,0.351,100.987,0.861
Rap,0.0794,0.809,213798,0.533,0.00112,C,0.113,-7.419,Major,0.0561,128.013,0.282
Rap,0.522,0.711,110058,0.739,2.16e-06,G#,0.0844,-8.527,Major,0.0583,144.979,0.336
Rap,0.0529,0.535,281133,0.73,0.0,C#,0.253,-5.574,Major,0.355,74.89,0.723
Rap,0.0744,0.903,181894,0.503,2.09e-05,B,0.125,-9.188,Minor,0.335,125.0,0.203
Rap,0.292,0.86,152829,0.418,0.0,G,0.106,-9.061,Minor,0.158,126.023,0.374
Rap,0.0919,0.83,138014,0.536,0.0,E,0.102,-6.324,Minor,0.152,139.961,0.375
Rap,0.426,0.773,269187,0.819,0.0,C,0.0679,-5.946,Minor,0.118,92.99,0.585
Rap,0.0655,0.762,291560,0.625,0.0,A,0.252,-10.481,Major,0.0562,110.163,0.696
Rap,0.0466,0.58,208960,0.702,3.2e-06,E,0.536,-5.565,Major,0.0337,105.076,0.299
Rap,8.74e-05,0.562,216557,0.554,2.14e-06,C,0.115,-6.114,Major,0.026,82.064,0.246
Rap,0.0284,0.571,295360,0.81,0.0,B,0.24,-4.375,Minor,0.253,151.025,0.234
Rap,0.103,0.401,60000,0.532,0.0,F,0.478,-11.554,Minor,0.508,84.777,0.413
Rap,0.0153,0.581,189487,0.662,0.0,A,0.111,-5.239,Major,0.303,93.023,0.434
Rap,0.0536,0.552,248613,0.731,0.0,G,0.258,-6.873,Major,0.615,174.516,0.632
Rap,0.104,0.717,191020,0.643,0.000113,B,0.149,-5.222,Major,0.0345,97.965,0.502
Rap,0.032,0.324,178440,0.938,0.0321,F#,0.0961,-7.332,Minor,0.102,168.131,0.543
Rap,0.121,0.697,215167,0.593,0.0,C,0.0835,-5.927,Major,0.0914,140.017,0.243
Rap,0.133,0.402,206920,0.794,0.0,B,0.133,-3.982,Minor,0.125,195.058,0.702
Rap,0.0262,0.779,206387,0.626,0.00488,A#,0.114,-7.73,Minor,0.067,140.078,0.419
Rap,0.0136,0.801,334360,0.521,0.0,E,0.179,-9.871,Minor,0.28,108.025,0.412
Rap,0.00167,0.451,153800,0.889,0.00215,C#,0.258,-2.693,Major,0.261,131.073,0.586
Rap,0.229,0.883,131500,0.897,0.0011,F,0.11,-1.02,Minor,0.108,119.999,0.258
Rap,0.029,0.832,314720,0.757,0.0,G,0.463,-4.908,Major,0.135,95.905,0.449
Rap,0.377,0.724,195837,0.675,0.0,B,0.0631,-6.611,Minor,0.356,130.003,0.398
Rap,0.0619,0.675,218462,0.726,2.86e-05,G#,0.0945,-1.696,Minor,0.0313,155.953,0.591
Rap,0.205,0.621,219280,0.702,0.0,E,0.124,-3.769,Major,0.0368,75.997,0.688
Rap,0.051,0.716,199013,0.621,0.0,B,0.307,-6.626,Minor,0.22,142.087,0.644
Rap,0.179,0.86,233293,0.625,0.000136,D,0.3,-6.922,Major,0.105,120.994,0.221
Rap,0.117,0.849,359973,0.499,4.97e-05,D,0.268,-7.872,Major,0.271,92.982,0.504
Rap,0.0124,0.412,229467,0.919,0.0601,F,0.424,-7.291,Major,0.184,166.367,0.572
Rap,0.467,0.666,247440,0.468,0.0,C,0.25,-9.231,Major,0.22,150.011,0.379
Rap,0.00531,0.732,187035,0.712,2.04e-06,C#,0.135,-4.751,Major,0.091,153.967,0.554
Rap,0.471,0.677,260774,0.603,0.0,A,0.0927,-8.813,Major,0.269,160.029,0.244
Rap,0.000213,0.405,190133,0.962,2.31e-06,B,0.108,-4.894,Major,0.0842,170.023,0.489
Rap,0.0895,0.734,270653,0.64,0.0,A,0.173,-7.638,Minor,0.182,90.011,0.351
Rap,0.0395,0.612,223173,0.593,0.0,C#,0.484,-6.294,Major,0.458,130.583,0.883
Rap,0.062,0.536,191942,0.721,0.0,A#,0.824,-6.44,Minor,0.386,117.139,0.393
Rap,0.00254,0.691,183533,0.728,8.34e-06,D,0.195,-5.88,Major,0.0383,102.003,0.368
Rap,0.0066,0.858,210545,0.65,2.07e-06,G#,0.121,-4.919,Major,0.241,147.031,0.653
Rap,0.0284,0.682,238203,0.639,0.0,G#,0.197,-4.406,Major,0.292,89.09,0.183
Rap,0.602,0.66,131127,0.434,0.0168,C,0.131,-10.182,Major,0.0498,77.967,0.364
Rap,0.0026,0.824,426853,0.656,0.00251,C#,0.144,-6.571,Major,0.224,125.006,0.707
Rap,0.00112,0.797,279507,0.608,7.66e-05,F#,0.0748,-6.096,Minor,0.0583,128.0,0.403
Rap,0.572,0.727,252203,0.486,0.0,G#,0.0889,-8.364,Major,0.0325,118.038,0.362
Rap,0.00742,0.687,176203,0.613,0.0,F,0.088,-6.344,Minor,0.339,78.867,0.424
Rap,0.128,0.746,187217,0.404,2.05e-05,A#,0.19,-9.849,Minor,0.403,142.913,0.686
Rap,0.196,0.539,255882,0.545,0.0,A,0.101,-5.775,Major,0.0721,73.08,0.144
Rap,0.14,0.716,141176,0.558,1.2e-05,G#,0.0712,-9.013,Major,0.392,169.741,0.661
Rap,0.107,0.705,99706,0.765,0.0,B,0.122,-7.495,Minor,0.0513,135.957,0.241
Rap,0.00786,0.613,246523,0.576,4.63e-06,E,0.106,-7.617,Minor,0.0651,87.988,0.692
Rap,0.0673,0.577,225132,0.611,0.0,D,0.149,-9.587,Major,0.409,150.111,0.182
Rap,0.497,0.624,202553,0.552,2.16e-05,G,0.558,-6.84,Major,0.38,128.012,0.498
Rap,0.0222,0.704,206813,0.57,0.0,F,0.101,-7.136,Major,0.0989,141.888,0.524
Rap,0.0607,0.72,286730,0.626,0.0,G#,0.0728,-9.351,Major,0.397,75.032,0.182
Rap,0.0416,0.869,268400,0.68,1.12e-06,C#,0.0914,-6.233,Major,0.318,85.519,0.815
Rap,0.0589,0.835,217925,0.626,6e-05,C#,0.396,-5.833,Major,0.125,91.03,0.35
Rap,0.0144,0.895,227727,0.491,0.000988,A#,0.143,-10.261,Minor,0.246,83.505,0.249
Rap,0.00536,0.749,216013,0.865,0.0,D#,0.198,-5.228,Major,0.0413,111.914,0.371
Rap,0.408,0.647,277680,0.291,0.0,D,0.0771,-8.275,Minor,0.0363,119.839,0.4
Rap,0.017,0.576,266307,0.648,0.0,F#,0.152,-7.466,Minor,0.0426,123.79,0.415
Rap,0.114,0.773,461840,0.595,2.47e-06,G#,0.13,-6.062,Minor,0.161,123.968,0.338
Rap,0.369,0.535,205707,0.637,0.0,F#,0.084,-6.799,Major,0.311,80.775,0.384
Rap,0.158,0.654,309800,0.637,1.28e-05,A#,0.338,-6.915,Minor,0.293,81.947,0.364
Rap,0.0586,0.845,211200,0.467,0.0,C#,0.0694,-7.674,Major,0.138,138.007,0.702
Rap,0.312,0.57,253787,0.86,0.0,C#,0.123,-5.075,Minor,0.438,152.797,0.495
Rap,0.465,0.544,147523,0.566,0.0,F,0.169,-8.661,Minor,0.219,107.905,0.723
Rap,0.0319,0.804,169345,0.66,0.0,A#,0.103,-4.86,Minor,0.0726,94.053,0.257
Rap,0.0397,0.694,127524,0.711,0.0,G#,0.112,-5.525,Major,0.221,138.049,0.283
Rap,0.0808,0.739,287851,0.616,0.0,G#,0.0759,-7.246,Major,0.0621,129.016,0.341
